Feature,Importance,Std
Interest_Fluctuation,0.07745098039215685,0.02429316018306641
Difficulty_Concentrating,0.06813725490196078,0.02724449653252992
Depression_Score,0.0534313725490196,0.027768645173075597
Easily_Distracted,0.0372549019607843,0.023324269124255528
Distraction_Score,0.026960784313725467,0.024337630563345904
Sleep_Issues,0.024019607843137232,0.023859006909094035
Worry_Score,0.01274509803921566,0.012439781902401498
Purposeless_Use,0.002941176470588206,0.01282029101041374
Gender_enc,0.002450980392156854,0.005480558768381818
Social_Media_Hours,0.0024509803921568393,0.009365182928697445
Relationship_Status_enc,0.0,0.0
Occupation_enc,-0.0009803921568627713,0.009998077477632917
Validation_Seeking,-0.002450980392156891,0.01144374267640074
Comparison_Score,-0.00343137254901964,0.023919358625011482
Restlessness,-0.004901960784313764,0.015345564551469147
Avg_Work_Life_Balance,-0.01029411764705885,0.010153095675101963
Age,-0.010784313725490224,0.015624879853440427
Avg_Work_Hours_Week,-0.012254901960784336,0.011443742676400746
Avg_Social_Isolation,-0.018627450980392188,0.021790304677345954
Avg_Screen_Time_hrs,-0.019607843137254926,0.01437537088099528
Avg_App_Usage_min,-0.019607843137254926,0.01437537088099528
Avg_Battery_Drain_mAh,-0.020588235294117675,0.014508479006812501
Avg_Apps_Installed,-0.020588235294117675,0.014508479006812501
Avg_Mobile_Intensity,-0.020588235294117675,0.014508479006812501
Avg_Data_Usage_MB,-0.02107843137254905,0.015037119264880373
Avg_Virtual_Meetings,-0.02303921568627455,0.021707441005376988
Avg_Sleep_Quality,-0.024019607843137288,0.016324339024849716
